AS Rome;Palerme;1--2;38;Serie A;2014_2015
Fiorentina;Chievo;3--0;38;Serie A;2014_2015
Inter;Empoli;4--3;38;Serie A;2014_2015
Naples;Lazio;2--4;38;Serie A;2014_2015
Sampdoria;Parma;2--2;38;Serie A;2014_2015
Sassuolo;Genoa;3--1;38;Serie A;2014_2015
Torino;Cesena;5--0;38;Serie A;2014_2015
Cagliari;Udinese;4--3;38;Serie A;2014_2015
Atalanta;AC Milan;1--3;38;Serie A;2014_2015
Hellas Vérone;Juventus;2--2;38;Serie A;2014_2015
Lazio;AS Rome;1--2;37;Serie A;2014_2015
AC Milan;Torino;3--0;37;Serie A;2014_2015
Cesena;Cagliari;0--1;37;Serie A;2014_2015
Chievo;Atalanta;1--1;37;Serie A;2014_2015
Palerme;Fiorentina;2--3;37;Serie A;2014_2015
Parma;Hellas Vérone;2--2;37;Serie A;2014_2015
Udinese;Sassuolo;0--1;37;Serie A;2014_2015
Empoli;Sampdoria;1--1;37;Serie A;2014_2015
Genoa;Inter;3--2;37;Serie A;2014_2015
Juventus;Naples;3--1;37;Serie A;2014_2015
Naples;Cesena;3--2;36;Serie A;2014_2015
Fiorentina;Parma;3--0;36;Serie A;2014_2015
AS Rome;Udinese;2--1;36;Serie A;2014_2015
Atalanta;Genoa;1--4;36;Serie A;2014_2015
Cagliari;Palerme;0--1;36;Serie A;2014_2015
Hellas Vérone;Empoli;2--1;36;Serie A;2014_2015
Torino;Chievo;2--0;36;Serie A;2014_2015
Sassuolo;AC Milan;3--2;36;Serie A;2014_2015
Sampdoria;Lazio;0--1;36;Serie A;2014_2015
Inter;Juventus;1--2;36;Serie A;2014_2015
Genoa;Torino;5--1;35;Serie A;2014_2015
Lazio;Inter;1--2;35;Serie A;2014_2015
Empoli;Fiorentina;2--3;35;Serie A;2014_2015
Parma;Naples;2--2;35;Serie A;2014_2015
Cesena;Sassuolo;2--3;35;Serie A;2014_2015
Palerme;Atalanta;2--3;35;Serie A;2014_2015
Udinese;Sampdoria;1--4;35;Serie A;2014_2015
Chievo;Hellas Vérone;2--2;35;Serie A;2014_2015
AC Milan;AS Rome;2--1;35;Serie A;2014_2015
Juventus;Cagliari;1--1;35;Serie A;2014_2015
Torino;Empoli;0--1;34;Serie A;2014_2015
Cagliari;Parma;4--0;34;Serie A;2014_2015
Naples;AC Milan;3--0;34;Serie A;2014_2015
Atalanta;Lazio;1--1;34;Serie A;2014_2015
Fiorentina;Cesena;3--1;34;Serie A;2014_2015
Hellas Vérone;Udinese;0--1;34;Serie A;2014_2015
Inter;Chievo;0--0;34;Serie A;2014_2015
AS Rome;Genoa;2--0;34;Serie A;2014_2015
Sassuolo;Palerme;0--0;34;Serie A;2014_2015
Sampdoria;Juventus;0--1;34;Serie A;2014_2015
Empoli;Naples;4--2;33;Serie A;2014_2015
AC Milan;Genoa;1--3;33;Serie A;2014_2015
Cesena;Atalanta;2--2;33;Serie A;2014_2015
Chievo;Cagliari;1--0;33;Serie A;2014_2015
Juventus;Fiorentina;3--2;33;Serie A;2014_2015
Lazio;Parma;4--0;33;Serie A;2014_2015
Palerme;Torino;2--2;33;Serie A;2014_2015
Sampdoria;Hellas Vérone;1--1;33;Serie A;2014_2015
Sassuolo;AS Rome;0--3;33;Serie A;2014_2015
Udinese;Inter;1--2;33;Serie A;2014_2015
Naples;Sampdoria;4--2;32;Serie A;2014_2015
Fiorentina;Cagliari;1--3;32;Serie A;2014_2015
Genoa;Cesena;3--1;32;Serie A;2014_2015
Hellas Vérone;Sassuolo;3--2;32;Serie A;2014_2015
Lazio;Chievo;1--1;32;Serie A;2014_2015
Parma;Palerme;1--0;32;Serie A;2014_2015
Torino;Juventus;2--1;32;Serie A;2014_2015
Atalanta;Empoli;2--2;32;Serie A;2014_2015
Inter;AS Rome;2--1;32;Serie A;2014_2015
Udinese;AC Milan;2--1;32;Serie A;2014_2015
Fiorentina;Hellas Vérone;0--1;31;Serie A;2014_2015
Inter;AC Milan;0--0;31;Serie A;2014_2015
Cagliari;Naples;0--3;31;Serie A;2014_2015
AS Rome;Atalanta;1--1;31;Serie A;2014_2015
Chievo;Udinese;1--1;31;Serie A;2014_2015
Empoli;Parma;2--2;31;Serie A;2014_2015
Palerme;Genoa;2--1;31;Serie A;2014_2015
Sassuolo;Torino;1--1;31;Serie A;2014_2015
Juventus;Lazio;2--0;31;Serie A;2014_2015
Sampdoria;Cesena;0--0;31;Serie A;2014_2015
AC Milan;Sampdoria;1--1;30;Serie A;2014_2015
Atalanta;Sassuolo;2--1;30;Serie A;2014_2015
Lazio;Empoli;4--0;30;Serie A;2014_2015
Naples;Fiorentina;3--0;30;Serie A;2014_2015
Torino;AS Rome;1--1;30;Serie A;2014_2015
Udinese;Palerme;1--3;30;Serie A;2014_2015
Cesena;Chievo;0--1;30;Serie A;2014_2015
Hellas Vérone;Inter;0--3;30;Serie A;2014_2015
Genoa;Cagliari;2--0;30;Serie A;2014_2015
Parma;Juventus;1--0;30;Serie A;2014_2015
Juventus;Empoli;2--0;29;Serie A;2014_2015
Fiorentina;Sampdoria;2--0;29;Serie A;2014_2015
Atalanta;Torino;1--2;29;Serie A;2014_2015
Cagliari;Lazio;1--3;29;Serie A;2014_2015
Genoa;Udinese;1--1;29;Serie A;2014_2015
Hellas Vérone;Cesena;3--3;29;Serie A;2014_2015
Inter;Parma;1--1;29;Serie A;2014_2015
Palerme;AC Milan;1--2;29;Serie A;2014_2015
Sassuolo;Chievo;1--0;29;Serie A;2014_2015
AS Rome;Naples;1--0;29;Serie A;2014_2015
Cesena;AS Rome;0--1;28;Serie A;2014_2015
Lazio;Hellas Vérone;2--0;28;Serie A;2014_2015
Naples;Atalanta;1--1;28;Serie A;2014_2015
Parma;Torino;0--2;28;Serie A;2014_2015
Sampdoria;Inter;1--0;28;Serie A;2014_2015
Udinese;Fiorentina;2--2;28;Serie A;2014_2015
Juventus;Genoa;1--0;28;Serie A;2014_2015
Empoli;Sassuolo;3--1;28;Serie A;2014_2015
AC Milan;Cagliari;3--1;28;Serie A;2014_2015
Chievo;Palerme;1--0;28;Serie A;2014_2015
AS Rome;Sampdoria;0--2;27;Serie A;2014_2015
Fiorentina;AC Milan;2--1;27;Serie A;2014_2015
Torino;Lazio;0--2;27;Serie A;2014_2015
Inter;Cesena;1--1;27;Serie A;2014_2015
Hellas Vérone;Naples;2--0;27;Serie A;2014_2015
Atalanta;Udinese;0--0;27;Serie A;2014_2015
Genoa;Chievo;0--2;27;Serie A;2014_2015
Sassuolo;Parma;4--1;27;Serie A;2014_2015
Cagliari;Empoli;1--1;27;Serie A;2014_2015
Palerme;Juventus;0--1;27;Serie A;2014_2015
Juventus;Sassuolo;1--0;26;Serie A;2014_2015
Lazio;Fiorentina;4--0;26;Serie A;2014_2015
Naples;Inter;2--2;26;Serie A;2014_2015
Chievo;AS Rome;0--0;26;Serie A;2014_2015
Empoli;Genoa;1--1;26;Serie A;2014_2015
Parma;Atalanta;0--0;26;Serie A;2014_2015
Udinese;Torino;3--2;26;Serie A;2014_2015
Cesena;Palerme;0--0;26;Serie A;2014_2015
AC Milan;Hellas Vérone;2--2;26;Serie A;2014_2015
Sampdoria;Cagliari;2--0;26;Serie A;2014_2015
AS Rome;Juventus;1--1;25;Serie A;2014_2015
Torino;Naples;1--0;25;Serie A;2014_2015
Genoa;Parma;2--0;25;Serie A;2014_2015
Inter;Fiorentina;0--1;25;Serie A;2014_2015
Atalanta;Sampdoria;1--2;25;Serie A;2014_2015
Cesena;Udinese;1--0;25;Serie A;2014_2015
Palerme;Empoli;0--0;25;Serie A;2014_2015
Sassuolo;Lazio;0--3;25;Serie A;2014_2015
Cagliari;Hellas Vérone;1--2;25;Serie A;2014_2015
Chievo;AC Milan;0--0;25;Serie A;2014_2015
Sampdoria;Genoa;1--1;24;Serie A;2014_2015
Cagliari;Inter;1--2;24;Serie A;2014_2015
Naples;Sassuolo;2--0;24;Serie A;2014_2015
Parma;Udinese;1--0;24;Serie A;2014_2015
Fiorentina;Torino;1--1;24;Serie A;2014_2015
AC Milan;Cesena;2--0;24;Serie A;2014_2015
Empoli;Chievo;3--0;24;Serie A;2014_2015
Hellas Vérone;AS Rome;1--1;24;Serie A;2014_2015
Lazio;Palerme;2--1;24;Serie A;2014_2015
Juventus;Atalanta;2--1;24;Serie A;2014_2015
Cesena;Juventus;2--2;23;Serie A;2014_2015
Chievo;Sampdoria;2--1;23;Serie A;2014_2015
AS Rome;Parma;0--0;23;Serie A;2014_2015
Atalanta;Inter;1--4;23;Serie A;2014_2015
Genoa;Hellas Vérone;5--2;23;Serie A;2014_2015
Torino;Cagliari;1--1;23;Serie A;2014_2015
Udinese;Lazio;0--1;23;Serie A;2014_2015
AC Milan;Empoli;1--1;23;Serie A;2014_2015
Palerme;Naples;3--1;23;Serie A;2014_2015
Sassuolo;Fiorentina;1--3;23;Serie A;2014_2015
Parma;Chievo;0--1;22;Serie A;2014_2015
Lazio;Genoa;0--1;22;Serie A;2014_2015
Inter;Palerme;3--0;22;Serie A;2014_2015
Cagliari;AS Rome;1--2;22;Serie A;2014_2015
Empoli;Cesena;2--0;22;Serie A;2014_2015
Naples;Udinese;3--1;22;Serie A;2014_2015
Sampdoria;Sassuolo;1--1;22;Serie A;2014_2015
Fiorentina;Atalanta;3--2;22;Serie A;2014_2015
Juventus;AC Milan;3--1;22;Serie A;2014_2015
Hellas Vérone;Torino;1--3;22;Serie A;2014_2015
AC Milan;Parma;3--1;21;Serie A;2014_2015
Atalanta;Cagliari;2--1;21;Serie A;2014_2015
Cesena;Lazio;2--1;21;Serie A;2014_2015
Chievo;Naples;1--2;21;Serie A;2014_2015
Palerme;Hellas Vérone;2--1;21;Serie A;2014_2015
Torino;Sampdoria;5--1;21;Serie A;2014_2015
