AS Rome;Naples;2--1;38;Serie A;2012_2013
Cagliari;Lazio;1--0;38;Serie A;2012_2013
Inter;Udinese;2--5;38;Serie A;2012_2013
Palerme;Parma;1--3;38;Serie A;2012_2013
Pescara;Fiorentina;1--5;38;Serie A;2012_2013
Siena;AC Milan;1--2;38;Serie A;2012_2013
Torino;Catania;2--2;38;Serie A;2012_2013
Atalanta;Chievo;2--2;38;Serie A;2012_2013
Bologne;Genoa;0--0;38;Serie A;2012_2013
Sampdoria;Juventus;3--2;38;Serie A;2012_2013
AC Milan;AS Rome;0--0;37;Serie A;2012_2013
Parma;Bologne;0--2;37;Serie A;2012_2013
Lazio;Sampdoria;2--0;37;Serie A;2012_2013
Naples;Siena;2--1;37;Serie A;2012_2013
Udinese;Atalanta;2--1;37;Serie A;2012_2013
Chievo;Torino;1--1;37;Serie A;2012_2013
Fiorentina;Palerme;1--0;37;Serie A;2012_2013
Genoa;Inter;0--0;37;Serie A;2012_2013
Catania;Pescara;1--0;37;Serie A;2012_2013
Juventus;Cagliari;1--1;37;Serie A;2012_2013
Atalanta;Juventus;0--1;36;Serie A;2012_2013
Bologne;Naples;0--3;36;Serie A;2012_2013
Cagliari;Parma;0--1;36;Serie A;2012_2013
Inter;Lazio;1--3;36;Serie A;2012_2013
Palerme;Udinese;2--3;36;Serie A;2012_2013
Sampdoria;Catania;1--1;36;Serie A;2012_2013
Siena;Fiorentina;0--1;36;Serie A;2012_2013
Torino;Genoa;0--0;36;Serie A;2012_2013
Pescara;AC Milan;0--4;36;Serie A;2012_2013
AS Rome;Chievo;0--1;36;Serie A;2012_2013
Naples;Inter;3--1;35;Serie A;2012_2013
AC Milan;Torino;1--0;35;Serie A;2012_2013
Catania;Siena;3--0;35;Serie A;2012_2013
Genoa;Pescara;4--1;35;Serie A;2012_2013
Juventus;Palerme;1--0;35;Serie A;2012_2013
Lazio;Bologne;6--0;35;Serie A;2012_2013
Parma;Atalanta;2--0;35;Serie A;2012_2013
Udinese;Sampdoria;3--1;35;Serie A;2012_2013
Fiorentina;AS Rome;0--1;35;Serie A;2012_2013
Chievo;Cagliari;0--0;35;Serie A;2012_2013
AC Milan;Catania;4--2;34;Serie A;2012_2013
AS Rome;Siena;4--0;34;Serie A;2012_2013
Chievo;Genoa;0--1;34;Serie A;2012_2013
Palerme;Inter;1--0;34;Serie A;2012_2013
Parma;Lazio;0--0;34;Serie A;2012_2013
Sampdoria;Fiorentina;0--3;34;Serie A;2012_2013
Torino;Juventus;0--2;34;Serie A;2012_2013
Pescara;Naples;0--3;34;Serie A;2012_2013
Atalanta;Bologne;1--1;34;Serie A;2012_2013
Cagliari;Udinese;0--1;34;Serie A;2012_2013
Juventus;AC Milan;1--0;33;Serie A;2012_2013
AS Rome;Pescara;1--1;33;Serie A;2012_2013
Bologne;Sampdoria;1--1;33;Serie A;2012_2013
Catania;Palerme;1--1;33;Serie A;2012_2013
Fiorentina;Torino;4--3;33;Serie A;2012_2013
Naples;Cagliari;3--2;33;Serie A;2012_2013
Siena;Chievo;0--1;33;Serie A;2012_2013
Inter;Parma;1--0;33;Serie A;2012_2013
Udinese;Lazio;1--0;33;Serie A;2012_2013
Genoa;Atalanta;1--1;33;Serie A;2012_2013
Lazio;Juventus;0--2;32;Serie A;2012_2013
AC Milan;Naples;1--1;32;Serie A;2012_2013
Cagliari;Inter;2--0;32;Serie A;2012_2013
Chievo;Catania;0--0;32;Serie A;2012_2013
Genoa;Sampdoria;1--1;32;Serie A;2012_2013
Parma;Udinese;0--3;32;Serie A;2012_2013
Torino;AS Rome;1--2;32;Serie A;2012_2013
Palerme;Bologne;1--1;32;Serie A;2012_2013
Atalanta;Fiorentina;0--2;32;Serie A;2012_2013
Pescara;Siena;2--3;32;Serie A;2012_2013
AS Rome;Lazio;1--1;31;Serie A;2012_2013
Inter;Atalanta;3--4;31;Serie A;2012_2013
Naples;Genoa;2--0;31;Serie A;2012_2013
Catania;Cagliari;0--0;31;Serie A;2012_2013
Sampdoria;Palerme;1--3;31;Serie A;2012_2013
Siena;Parma;0--0;31;Serie A;2012_2013
Udinese;Chievo;3--1;31;Serie A;2012_2013
Fiorentina;AC Milan;2--2;31;Serie A;2012_2013
Bologne;Torino;2--2;31;Serie A;2012_2013
Juventus;Pescara;2--1;31;Serie A;2012_2013
Torino;Naples;3--5;30;Serie A;2012_2013
Chievo;AC Milan;0--1;30;Serie A;2012_2013
Atalanta;Sampdoria;0--0;30;Serie A;2012_2013
Cagliari;Fiorentina;2--1;30;Serie A;2012_2013
Genoa;Siena;2--2;30;Serie A;2012_2013
Inter;Juventus;1--2;30;Serie A;2012_2013
Lazio;Catania;2--1;30;Serie A;2012_2013
Palerme;AS Rome;2--0;30;Serie A;2012_2013
Parma;Pescara;3--0;30;Serie A;2012_2013
Udinese;Bologne;0--0;30;Serie A;2012_2013
AS Rome;Parma;2--0;29;Serie A;2012_2013
Torino;Lazio;1--0;29;Serie A;2012_2013
Sampdoria;Inter;0--2;29;Serie A;2012_2013
AC Milan;Palerme;2--0;29;Serie A;2012_2013
Fiorentina;Genoa;3--2;29;Serie A;2012_2013
Naples;Atalanta;3--2;29;Serie A;2012_2013
Pescara;Chievo;0--2;29;Serie A;2012_2013
Siena;Cagliari;0--0;29;Serie A;2012_2013
Bologne;Juventus;0--2;29;Serie A;2012_2013
Catania;Udinese;3--1;29;Serie A;2012_2013
Inter;Bologne;0--1;28;Serie A;2012_2013
Lazio;Fiorentina;0--2;28;Serie A;2012_2013
Cagliari;Sampdoria;3--1;28;Serie A;2012_2013
Chievo;Naples;2--0;28;Serie A;2012_2013
Juventus;Catania;1--0;28;Serie A;2012_2013
