Cardiff;Chelsea;1--2;38;Premier League;2013_2014
Fulham;Crystal Palace;2--2;38;Premier League;2013_2014
Hull;Everton;0--2;38;Premier League;2013_2014
Liverpool;Newcastle;2--1;38;Premier League;2013_2014
Manchester City;West Ham;2--0;38;Premier League;2013_2014
Norwich;Arsenal;0--2;38;Premier League;2013_2014
Southampton;Manchester Utd;1--1;38;Premier League;2013_2014
Sunderland;Swansea;1--3;38;Premier League;2013_2014
Tottenham;Aston Villa;3--0;38;Premier League;2013_2014
West Brom;Stoke;1--2;38;Premier League;2013_2014
Crystal Palace;Liverpool;3--3;37;Premier League;2013_2014
Chelsea;Norwich;0--0;37;Premier League;2013_2014
Arsenal;West Brom;1--0;37;Premier League;2013_2014
Everton;Manchester City;2--3;37;Premier League;2013_2014
Aston Villa;Hull;3--1;37;Premier League;2013_2014
Manchester Utd;Sunderland;0--1;37;Premier League;2013_2014
Newcastle;Cardiff;3--0;37;Premier League;2013_2014
Stoke;Fulham;4--1;37;Premier League;2013_2014
Swansea;Southampton;0--1;37;Premier League;2013_2014
West Ham;Tottenham;2--0;37;Premier League;2013_2014
Arsenal;Newcastle;3--0;36;Premier League;2013_2014
Crystal Palace;Manchester City;0--2;36;Premier League;2013_2014
Liverpool;Chelsea;0--2;36;Premier League;2013_2014
Sunderland;Cardiff;4--0;36;Premier League;2013_2014
Manchester Utd;Norwich;4--0;36;Premier League;2013_2014
Fulham;Hull;2--2;36;Premier League;2013_2014
Stoke;Tottenham;0--1;36;Premier League;2013_2014
Swansea;Aston Villa;4--1;36;Premier League;2013_2014
West Brom;West Ham;1--0;36;Premier League;2013_2014
Southampton;Everton;2--0;36;Premier League;2013_2014
Manchester City;West Brom;3--1;35;Premier League;2013_2014
Everton;Manchester Utd;2--0;35;Premier League;2013_2014
Hull;Arsenal;0--3;35;Premier League;2013_2014
Norwich;Liverpool;2--3;35;Premier League;2013_2014
Chelsea;Sunderland;1--2;35;Premier League;2013_2014
Aston Villa;Southampton;0--0;35;Premier League;2013_2014
Cardiff;Stoke;1--1;35;Premier League;2013_2014
Newcastle;Swansea;1--2;35;Premier League;2013_2014
West Ham;Crystal Palace;0--1;35;Premier League;2013_2014
Tottenham;Fulham;3--1;35;Premier League;2013_2014
Arsenal;West Ham;3--1;34;Premier League;2013_2014
Swansea;Chelsea;0--1;34;Premier League;2013_2014
Manchester Utd;Hull;3--1;34;Premier League;2013_2014
Liverpool;Manchester City;3--2;34;Premier League;2013_2014
Crystal Palace;Aston Villa;1--0;34;Premier League;2013_2014
Fulham;Norwich;1--0;34;Premier League;2013_2014
Southampton;Cardiff;0--1;34;Premier League;2013_2014
Stoke;Newcastle;1--0;34;Premier League;2013_2014
Sunderland;Everton;0--1;34;Premier League;2013_2014
West Brom;Tottenham;3--3;34;Premier League;2013_2014
Tottenham;Sunderland;5--1;33;Premier League;2013_2014
West Ham;Liverpool;1--2;33;Premier League;2013_2014
Everton;Arsenal;3--0;33;Premier League;2013_2014
Chelsea;Stoke;3--0;33;Premier League;2013_2014
Aston Villa;Fulham;1--2;33;Premier League;2013_2014
Cardiff;Crystal Palace;0--3;33;Premier League;2013_2014
Hull;Swansea;1--0;33;Premier League;2013_2014
Newcastle;Manchester Utd;0--4;33;Premier League;2013_2014
Norwich;West Brom;0--1;33;Premier League;2013_2014
Manchester City;Southampton;4--1;33;Premier League;2013_2014
Sunderland;West Ham;1--2;32;Premier League;2013_2014
Liverpool;Tottenham;4--0;32;Premier League;2013_2014
Fulham;Everton;1--3;32;Premier League;2013_2014
Arsenal;Manchester City;1--1;32;Premier League;2013_2014
Crystal Palace;Chelsea;1--0;32;Premier League;2013_2014
Southampton;Newcastle;4--0;32;Premier League;2013_2014
Stoke;Hull;1--0;32;Premier League;2013_2014
Swansea;Norwich;3--0;32;Premier League;2013_2014
West Brom;Cardiff;3--3;32;Premier League;2013_2014
Manchester Utd;Aston Villa;4--1;32;Premier League;2013_2014
Aston Villa;Stoke;1--4;31;Premier League;2013_2014
Tottenham;Southampton;3--2;31;Premier League;2013_2014
