Arsenal;West Brom;4--1;38;Premier League;2014_2015
Aston Villa;Burnley;0--1;38;Premier League;2014_2015
Chelsea;Sunderland;3--1;38;Premier League;2014_2015
Crystal Palace;Swansea;1--0;38;Premier League;2014_2015
Everton;Tottenham;0--1;38;Premier League;2014_2015
Hull;Manchester Utd;0--0;38;Premier League;2014_2015
Leicester;QPR;5--1;38;Premier League;2014_2015
Manchester City;Southampton;2--0;38;Premier League;2014_2015
Newcastle;West Ham;2--0;38;Premier League;2014_2015
Stoke;Liverpool;6--1;38;Premier League;2014_2015
West Brom;Chelsea;3--0;37;Premier League;2014_2015
Manchester Utd;Arsenal;1--1;37;Premier League;2014_2015
Swansea;Manchester City;2--4;37;Premier League;2014_2015
Liverpool;Crystal Palace;1--3;37;Premier League;2014_2015
Burnley;Stoke;0--0;37;Premier League;2014_2015
QPR;Newcastle;2--1;37;Premier League;2014_2015
Sunderland;Leicester;0--0;37;Premier League;2014_2015
Tottenham;Hull;2--0;37;Premier League;2014_2015
West Ham;Everton;1--2;37;Premier League;2014_2015
Southampton;Aston Villa;6--1;37;Premier League;2014_2015
Arsenal;Swansea;0--1;36;Premier League;2014_2015
Chelsea;Liverpool;1--1;36;Premier League;2014_2015
Manchester City;QPR;6--0;36;Premier League;2014_2015
Crystal Palace;Manchester Utd;1--2;36;Premier League;2014_2015
Aston Villa;West Ham;1--0;36;Premier League;2014_2015
Hull;Burnley;0--1;36;Premier League;2014_2015
Leicester;Southampton;2--0;36;Premier League;2014_2015
Newcastle;West Brom;1--1;36;Premier League;2014_2015
Stoke;Tottenham;3--0;36;Premier League;2014_2015
Everton;Sunderland;0--2;36;Premier League;2014_2015
Hull;Arsenal;1--3;35;Premier League;2014_2015
Tottenham;Manchester City;0--1;35;Premier League;2014_2015
Chelsea;Crystal Palace;1--0;35;Premier League;2014_2015
Manchester Utd;West Brom;0--1;35;Premier League;2014_2015
Aston Villa;Everton;3--2;35;Premier League;2014_2015
Liverpool;QPR;2--1;35;Premier League;2014_2015
Sunderland;Southampton;2--1;35;Premier League;2014_2015
Swansea;Stoke;2--0;35;Premier League;2014_2015
West Ham;Burnley;1--0;35;Premier League;2014_2015
