FC Seville;Elche;3--1;38;Liga;2013_2014
Almeria;Ath. Bilbao;0--0;38;Liga;2013_2014
Osasuna;Betis;2--1;38;Liga;2013_2014
Valladolid;Grenade;0--1;38;Liga;2013_2014
Vallecano;Getafe;1--2;38;Liga;2013_2014
Real Sociedad;Villarreal;1--2;38;Liga;2013_2014
Valence;Celta Vigo;2--1;38;Liga;2013_2014
Barcelone;Atl. Madrid;1--1;38;Liga;2013_2014
Real Madrid;Espanyol;3--1;38;Liga;2013_2014
Malaga;Levante;1--0;38;Liga;2013_2014
Atl. Madrid;Malaga;1--1;37;Liga;2013_2014
Betis;Valladolid;4--3;37;Liga;2013_2014
Celta Vigo;Real Madrid;2--0;37;Liga;2013_2014
Elche;Barcelone;0--0;37;Liga;2013_2014
Espanyol;Osasuna;1--1;37;Liga;2013_2014
Getafe;FC Seville;1--0;37;Liga;2013_2014
Grenade;Almeria;0--2;37;Liga;2013_2014
Ath. Bilbao;Real Sociedad;1--1;37;Liga;2013_2014
Levante;Valence;2--0;37;Liga;2013_2014
Villarreal;Vallecano;4--0;37;Liga;2013_2014
Real Sociedad;Grenade;1--1;36;Liga;2013_2014
Real Madrid;Valence;2--2;36;Liga;2013_2014
FC Seville;Villarreal;0--0;36;Liga;2013_2014
Levante;Atl. Madrid;2--0;36;Liga;2013_2014
Almeria;Betis;3--2;36;Liga;2013_2014
Valladolid;Espanyol;1--0;36;Liga;2013_2014
Osasuna;Celta Vigo;0--2;36;Liga;2013_2014
Malaga;Elche;0--1;36;Liga;2013_2014
Barcelone;Getafe;2--2;36;Liga;2013_2014
Vallecano;Ath. Bilbao;0--3;36;Liga;2013_2014
Celta Vigo;Valladolid;4--1;35;Liga;2013_2014
Villarreal;Barcelone;2--3;35;Liga;2013_2014
Ath. Bilbao;FC Seville;3--1;35;Liga;2013_2014
Valence;Atl. Madrid;0--1;35;Liga;2013_2014
Espanyol;Almeria;1--2;35;Liga;2013_2014
Betis;Real Sociedad;0--1;35;Liga;2013_2014
Real Madrid;Osasuna;4--0;35;Liga;2013_2014
Getafe;Malaga;1--0;35;Liga;2013_2014
Grenade;Vallecano;0--3;35;Liga;2013_2014
Elche;Levante;1--1;35;Liga;2013_2014
Malaga;Villarreal;2--0;34;Liga;2013_2014
Barcelone;Ath. Bilbao;2--1;34;Liga;2013_2014
Valladolid;Real Madrid;1--1;34;Liga;2013_2014
FC Seville;Grenade;4--0;34;Liga;2013_2014
Vallecano;Betis;3--1;34;Liga;2013_2014
Almeria;Celta Vigo;2--4;34;Liga;2013_2014
Real Sociedad;Espanyol;2--1;34;Liga;2013_2014
Levante;Getafe;0--0;34;Liga;2013_2014
Osasuna;Valence;1--1;34;Liga;2013_2014
Atl. Madrid;Elche;2--0;34;Liga;2013_2014
Ath. Bilbao;Malaga;3--0;33;Liga;2013_2014
Espanyol;Vallecano;2--2;33;Liga;2013_2014
Getafe;Atl. Madrid;0--2;33;Liga;2013_2014
Valence;Elche;2--1;33;Liga;2013_2014
Betis;FC Seville;0--2;33;Liga;2013_2014
Real Madrid;Almeria;4--0;33;Liga;2013_2014
Grenade;Barcelone;1--0;33;Liga;2013_2014
Villarreal;Levante;1--0;33;Liga;2013_2014
Celta Vigo;Real Sociedad;2--2;33;Liga;2013_2014
Osasuna;Valladolid;0--0;33;Liga;2013_2014
Levante;Ath. Bilbao;1--2;32;Liga;2013_2014
Valladolid;Valence;0--0;32;Liga;2013_2014
FC Seville;Espanyol;4--1;32;Liga;2013_2014
Elche;Getafe;1--0;32;Liga;2013_2014
Malaga;Grenade;4--1;32;Liga;2013_2014
Vallecano;Celta Vigo;3--0;32;Liga;2013_2014
Real Sociedad;Real Madrid;0--4;32;Liga;2013_2014
Barcelone;Betis;3--1;32;Liga;2013_2014
Atl. Madrid;Villarreal;1--0;32;Liga;2013_2014
Almeria;Osasuna;1--2;32;Liga;2013_2014
Betis;Malaga;1--2;31;Liga;2013_2014
Grenade;Levante;0--2;31;Liga;2013_2014
Valence;Getafe;1--3;31;Liga;2013_2014
Villarreal;Elche;1--1;31;Liga;2013_2014
Osasuna;Real Sociedad;1--1;31;Liga;2013_2014
Valladolid;Almeria;1--0;31;Liga;2013_2014
Real Madrid;Vallecano;5--0;31;Liga;2013_2014
Ath. Bilbao;Atl. Madrid;1--2;31;Liga;2013_2014
Celta Vigo;FC Seville;1--0;31;Liga;2013_2014
Espanyol;Barcelone;0--1;31;Liga;2013_2014
Almeria;Valence;2--2;30;Liga;2013_2014
Levante;Betis;1--3;30;Liga;2013_2014
Getafe;Villarreal;0--1;30;Liga;2013_2014
Real Sociedad;Valladolid;1--0;30;Liga;2013_2014
Atl. Madrid;Grenade;1--0;30;Liga;2013_2014
FC Seville;Real Madrid;2--1;30;Liga;2013_2014
Barcelone;Celta Vigo;3--0;30;Liga;2013_2014
Vallecano;Osasuna;1--0;30;Liga;2013_2014
Elche;Ath. Bilbao;0--0;30;Liga;2013_2014
Malaga;Espanyol;1--2;30;Liga;2013_2014
Almeria;Real Sociedad;4--3;29;Liga;2013_2014
Real Madrid;Barcelone;3--4;29;Liga;2013_2014
Valence;Villarreal;2--1;29;Liga;2013_2014
Betis;Atl. Madrid;0--2;29;Liga;2013_2014
Osasuna;FC Seville;1--2;29;Liga;2013_2014
Ath. Bilbao;Getafe;1--0;29;Liga;2013_2014
Valladolid;Vallecano;1--1;29;Liga;2013_2014
Espanyol;Levante;0--0;29;Liga;2013_2014
Grenade;Elche;1--0;29;Liga;2013_2014
Celta Vigo;Malaga;0--2;29;Liga;2013_2014
Villarreal;Ath. Bilbao;1--1;28;Liga;2013_2014
Real Sociedad;Valence;1--0;28;Liga;2013_2014
FC Seville;Valladolid;4--1;28;Liga;2013_2014
Barcelone;Osasuna;7--0;28;Liga;2013_2014
Elche;Betis;0--0;28;Liga;2013_2014
Atl. Madrid;Espanyol;1--0;28;Liga;2013_2014
Malaga;Real Madrid;0--1;28;Liga;2013_2014
Vallecano;Almeria;3--1;28;Liga;2013_2014
Levante;Celta Vigo;0--1;28;Liga;2013_2014
Getafe;Grenade;3--3;28;Liga;2013_2014
Real Sociedad;Vallecano;2--3;27;Liga;2013_2014
Osasuna;Malaga;0--2;27;Liga;2013_2014
Valence;Ath. Bilbao;1--1;27;Liga;2013_2014
Real Madrid;Levante;3--0;27;Liga;2013_2014
Almeria;FC Seville;1--3;27;Liga;2013_2014
Espanyol;Elche;3--1;27;Liga;2013_2014
Grenade;Villarreal;2--0;27;Liga;2013_2014
